region,island,deployment_year,recovery_year,depth,lat,lon,unit,sample,count,species,family,genus,taxon_level
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_A,OAH_SUC_124,1,Thalamitoides_quadridens,Portunidae,Thalamitoides,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_A,OAH_SUC_124,1,Thalamitoides_quadridens,Portunidae,Thalamitoides,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_B,OAH_SUC_154,1,Liocarpilodes_integerrimus,Xanthidae,Liocarpilodes,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_B,OAH_SUC_155,1,Liomera_rubra,Xanthidae,Liomera,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_B,OAH_SUC_152,1,Paractaea_rufopunctata,Xanthidae,Paractaea,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_B,OAH_SUC_149,1,Perinia_tumida,Epialtidae,Perinia,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_B,OAH_SUC_148,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_B,OAH_SUC_151,1,Thalamitoides_quadridens,Portunidae,Thalamitoides,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_B,OAH_SUC_151,1,Thalamitoides_quadridens,Portunidae,Thalamitoides,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_B,OAH_SUC_165,2,Xanthias_latifrons,Xanthidae,Xanthias,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_D,OAH_SUC_211,1,Carupa_tenuipes,Portunidae,Carupa,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_D,OAH_SUC_206,1,Dynomene_hispida,Dynomenidae,Dynomene,species
main,OAH,2009,2011,12,21.28836,-157.8656,2011_OAH_ARMS_G03_D,OAH_SUC_212,2,Thalamitoides_quadridens,Portunidae,Thalamitoides,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1023,1,Achaeus_sp1023,Inachidae,Achaeus,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1032,1,Achaeus_sp1023,Inachidae,Achaeus,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1012,1,Catoptrus_inequalis,Catoptridae,Catoptrus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1001,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1003,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1008,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1015,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1016,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1017,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1019,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1031,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1009,1,Cryptodromiopsis_tridens,Dromiidae,Cryptodromiopsis,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1025,1,Exopalicus_maculatus,Palicidae,Exopalicus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1011,1,Laleonectes_nipponensis,Portunidae,Laleonectes,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1010,1,Leucosiidae_sp146,Leucosiidae,,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1002,1,Liomera_bella,Xanthidae,Liomera,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1026,1,Medaeus_ornatus,Xanthidae,Medaeus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1027,1,Pilodius_sp903,Pilumnidae,Pilodius,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1022,1,Pilumnus_acutifrons,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1028,1,Pilumnus_acutifrons,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1004,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1005,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1007,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1013,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1029,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1030,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1006,1,Platypodia_semigranosa,Xanthidae,Platypodia,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1014,1,Platypodia_semigranosa,Xanthidae,Platypodia,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1024,1,Pseudoliomera_variolosa,Xanthidae,Pseudoliomera,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1021,1,Thalamita_bevisi,Portunidae,Thalamita,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_A,MCE_1020,1,Pilumnus_taeniola,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1066,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1071,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1072,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1076,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1078,1,Cryptodromiopsis_tridens,Dromiidae,Cryptodromiopsis,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1077,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1079,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1070,1,Exopalicus_maculatus,Palicidae,Exopalicus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1073,1,Exopalicus_maculatus,Palicidae,Exopalicus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1080,1,Hyastenus_sp1050,Epialtidae,Hyastenus,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1064,1,Liomera_bella,Xanthidae,Liomera,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1069,1,Pilumnus_acutifrons,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1068,1,Pseudoliomera_variolosa,Xanthidae,Pseudoliomera,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1074,1,Tweedieia_laysani,Xanthidae,Tweedieia,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1065,1,Xanthias_latifrons,Xanthidae,Xanthias,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1067,1,Xanthias_latifrons,Xanthidae,Xanthias,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_B,MCE_1075,1,Xanthias_latifrons,Xanthidae,Xanthias,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1097,1,Catoptrus_inequalis,Catoptridae,Catoptrus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1105,1,Chlorodiella_laevissima,Xanthidae,Chlorodiella,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1088,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1092,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1093,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1094,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1101,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1103,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1089,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1106,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1095,1,Epiactaea_nodulosa,Xanthidae,Epiactaea,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1100,1,Epiactaea_nodulosa,Xanthidae,Epiactaea,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1096,1,Liomera_medipacifica,Xanthidae,Liomera,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1091,1,Pilumnus_acutifrons,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1099,1,Pilumnus_acutifrons,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1102,1,Pilumnus_acutifrons,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1104,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1107,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1098,1,Pilumnus_taeniola,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_C,MCE_1090,1,Xanthias_latifrons,Xanthidae,Xanthias,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_D,MCE_1082,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_D,MCE_1085,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_D,MCE_1087,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_D,MCE_1084,1,Exopalicus_maculatus,Palicidae,Exopalicus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_D,MCE_1081,1,Pilumnus_sp2018,Pilumnidae,Pilumnus,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_D,MCE_1086,1,Pseudoliomera_variolosa,Xanthidae,Pseudoliomera,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_D,MCE_1083,1,Xanthias_latifrons,Xanthidae,Xanthias,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_E,MCE_1053,1,Chlorodiella_laevissima,Xanthidae,Chlorodiella,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_E,MCE_1054,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_E,MCE_1058,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_E,MCE_1061,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_E,MCE_1062,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_E,MCE_1060,1,Exopalicus_maculatus,Palicidae,Exopalicus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_E,MCE_1057,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_E,MCE_1055,1,Xanthias_latifrons,Xanthidae,Xanthias,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_E,MCE_1056,1,Xanthias_latifrons,Xanthidae,Xanthias,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_E,MCE_1063,1,Xanthias_latifrons,Xanthidae,Xanthias,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1041,1,Chlorodiella_laevissima,Xanthidae,Chlorodiella,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1042,1,Chlorodiella_laevissima,Xanthidae,Chlorodiella,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1052,1,Chlorodiella_laevissima,Xanthidae,Chlorodiella,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1036,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1038,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1050,1,Hyastenus_sp1050,Epialtidae,Hyastenus,morphospecies
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1034,1,Medaeus_ornatus,Xanthidae,Medaeus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1049,1,Medaeus_ornatus,Xanthidae,Medaeus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1043,1,Pilumnus_oahuensis,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1035,1,Thalamita_bevisi,Portunidae,Thalamita,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1044,1,Thalamita_bevisi,Portunidae,Thalamita,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1045,1,Thalamita_bevisi,Portunidae,Thalamita,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1039,1,Xanthias_latifrons,Xanthidae,Xanthias,species
mce,OAH,2010,2012,30,21.284433,-157.868683,2012_MCE_30_F,MCE_1047,1,Xanthias_latifrons,Xanthidae,Xanthias,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_A,MCE_2008,1,Catoptrus_inequalis,Catoptridae,Catoptrus,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_A,MCE_2007,1,Chlorodiella_laevissima,Xanthidae,Chlorodiella,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_A,MCE_2004,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_A,MCE_2006,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_A,MCE_2002,1,Liomera_tristis,Xanthidae,Liomera,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_A,MCE_2001,1,Lophozozymus_dodone,Xanthidae,Lophozozymus,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_A,MCE_2005,1,Medaeus_ornatus,Xanthidae,Medaeus,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_A,MCE_2003,1,Pilumnus_taeniola,Pilumnidae,Pilumnus,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2057,1,Catoptrus_inequalis,Catoptridae,Catoptrus,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2064,1,Catoptrus_inequalis,Catoptridae,Catoptrus,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2065,1,Catoptrus_inequalis,Catoptridae,Catoptrus,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2072,1,Catoptrus_inequalis,Catoptridae,Catoptrus,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2054,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2061,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2066,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2068,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2070,1,Chlorodiella_sp2,Xanthidae,Chlorodiella,morphospecies
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2060,1,Dynomene_hispida,Dynomenidae,Dynomene,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2063,1,Epiactaea_nodulosa,Xanthidae,Epiactaea,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2100,1,Epiactaea_nodulosa,Xanthidae,Epiactaea,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2074,1,Hyastenus_sp2074,Epialtidae,Hyastenus,morphospecies
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2071,1,Laleonectes_nipponensis,Portunidae,Laleonectes,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2073,1,Liomera_bella,Xanthidae,Liomera,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2056,1,Liomera_medipacifica,Xanthidae,Liomera,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2069,1,Liomera_medipacifica,Xanthidae,Liomera,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2055,1,Medaeus_ornatus,Xanthidae,Medaeus,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2059,1,Medaeus_ornatus,Xanthidae,Medaeus,species
mce,OAH,2010,2012,60,21.26775,-157.848867,2012_MCE_60_B,MCE_2062,1,Thalamita_seurati,Portunidae,Thalamita,species
